Sub_Model,RiskFactor_NM,X1_Var,X2_Var,RiskFactor,X1_Val,X2_Val,Calc_Type,On_Off,Monotonicity,Fixed,Key
HT,00LVL,LVL,,-0.34324451427356634,0,0,DIM_0,Y,,,HT_00LVL_0_0
HT,01AGE,AGE,,-0.9436499424052214,0,0,DIM_1,Y,,,HT_01AGE_0_0
HT,01AGE,AGE,,0.5287306800334975,1,0,DIM_1,Y,,,HT_01AGE_1_0
HT,01AGE,AGE,,0.49523450821635656,2,0,DIM_1,Y,,,HT_01AGE_2_0
HT,01AGE,AGE,,0.10282147406970203,4,0,DIM_1,Y,,,HT_01AGE_4_0
HT,01AGE,AGE,,-0.9784722379222967,7,0,DIM_1,Y,,,HT_01AGE_7_0
HT,01AGE,AGE,,-0.09325500392469581,12,0,DIM_1,Y,,,HT_01AGE_12_0
HT,01AGE,AGE,,-0.3569291644322485,18,0,DIM_1,Y,,,HT_01AGE_18_0
HT,01AGE,AGE,,0.4973718960581595,24,0,DIM_1,Y,,,HT_01AGE_24_0
HT,01AGE,AGE,,-0.8349360985014787,36,0,DIM_1,Y,,,HT_01AGE_36_0
HT,01AGE,AGE,,-0.4959907304954941,60,0,DIM_1,Y,,,HT_01AGE_60_0
HT,01AGE,AGE,,-0.8580555542251597,72,0,DIM_1,Y,,,HT_01AGE_72_0
HT,02INC,SPREAD,,0.0,-200,0,DIM_1,N,1,,HT_02INC_-200_0
HT,02INC,SPREAD,,0.0,-150,0,DIM_1,N,1,,HT_02INC_-150_0
HT,02INC,SPREAD,,0.0,-100,0,DIM_1,N,1,,HT_02INC_-100_0
HT,02INC,SPREAD,,0.0,-50,0,DIM_1,N,1,,HT_02INC_-50_0
HT,02INC,SPREAD,,0.0,-25,0,DIM_1,N,1,,HT_02INC_-25_0
HT,02INC,SPREAD,,0.0,0,0,DIM_1,N,1,,HT_02INC_0_0
HT,04SEA,MON,,-0.392,1,0,DIM_1,Y,,Y,HT_04SEA_1_0
HT,04SEA,MON,,-0.347,2,0,DIM_1,Y,,Y,HT_04SEA_2_0
HT,04SEA,MON,,-0.0585,3,0,DIM_1,Y,,Y,HT_04SEA_3_0
HT,04SEA,MON,,0.0365,4,0,DIM_1,Y,,Y,HT_04SEA_4_0
HT,04SEA,MON,,0.1349,5,0,DIM_1,Y,,Y,HT_04SEA_5_0
HT,04SEA,MON,,0.222,6,0,DIM_1,Y,,Y,HT_04SEA_6_0
HT,04SEA,MON,,0.1638,7,0,DIM_1,Y,,Y,HT_04SEA_7_0
HT,04SEA,MON,,0.1892,8,0,DIM_1,Y,,Y,HT_04SEA_8_0
HT,04SEA,MON,,0.0195,9,0,DIM_1,Y,,Y,HT_04SEA_9_0
HT,04SEA,MON,,0.0024,10,0,DIM_1,Y,,Y,HT_04SEA_10_0
HT,04SEA,MON,,-0.1026,11,0,DIM_1,Y,,Y,HT_04SEA_11_0
HT,04SEA,MON,,-0.0691,12,0,DIM_1,Y,,Y,HT_04SEA_12_0
HT,05EGSO,EGSO,,-0.34324451427356584,-9,0,DIM_1,Y,1,,HT_05EGSO_-9_0
HT,05EGSO,EGSO,,-0.2078676024547818,-6,0,DIM_1,Y,1,,HT_05EGSO_-6_0
HT,05EGSO,EGSO,,-0.12962057203737523,-3,0,DIM_1,Y,1,,HT_05EGSO_-3_0
HT,05EGSO,EGSO,,-0.01548407659859119,0,0,DIM_1,Y,1,,HT_05EGSO_0_0
HT,05EGSO,EGSO,,0.04886304059401664,3,0,DIM_1,Y,1,,HT_05EGSO_3_0
HT,05EGSO,EGSO,,0.24116657452132606,6,0,DIM_1,Y,1,,HT_05EGSO_6_0
HT,05EGSO,EGSO,,0.27580539363890244,9,0,DIM_1,Y,1,,HT_05EGSO_9_0
HT,05EGSO,EGSO,,0.39469561660910624,12,0,DIM_1,Y,1,,HT_05EGSO_12_0
HT,05EGSO,EGSO,,0.527970732306101,15,0,DIM_1,Y,1,,HT_05EGSO_15_0
HT,11FICO,FICO,,-0.34324451427356584,640,0,DIM_1,Y,-1,,HT_11FICO_640_0
