Sub_Model,RiskFactor_NM,X1_Var_NM,X2_Var_NM,RiskFactor_VAL,X1_Var_Val,X2_Var_Val,Calc_Type,On_Off_Flag,Monotonicity,Fixed,Key,Notes
HT,00LVL,LVL,,0,0,0,DIM_0,Y,,,HT_00LVL_0_0,
HT,01AGE,AGE,,0,0,0,DIM_1,Y,,,HT_01AGE_0_0,
HT,01AGE,AGE,,0,1,0,DIM_1,Y,,,HT_01AGE_1_0,
HT,01AGE,AGE,,0,2,0,DIM_1,Y,,,HT_01AGE_2_0,
HT,01AGE,AGE,,0,4,0,DIM_1,Y,,,HT_01AGE_4_0,
HT,01AGE,AGE,,0,7,0,DIM_1,Y,,,HT_01AGE_7_0,
HT,01AGE,AGE,,0,12,0,DIM_1,Y,,,HT_01AGE_12_0,
HT,01AGE,AGE,,0,18,0,DIM_1,Y,,,HT_01AGE_18_0,
HT,01AGE,AGE,,0,24,0,DIM_1,Y,,,HT_01AGE_24_0,
HT,01AGE,AGE,,0,36,0,DIM_1,Y,,,HT_01AGE_36_0,
HT,01AGE,AGE,,0,60,0,DIM_1,Y,,,HT_01AGE_60_0,
HT,01AGE,AGE,,0,72,0,DIM_1,Y,,,HT_01AGE_72_0,
HT,02INC,SPREAD,,0,-200,0,DIM_1,N,1,,HT_02INC_-200_0,
HT,02INC,SPREAD,,0,-150,0,DIM_1,N,1,,HT_02INC_-150_0,
HT,02INC,SPREAD,,0,-100,0,DIM_1,N,1,,HT_02INC_-100_0,
HT,02INC,SPREAD,,0,-50,0,DIM_1,N,1,,HT_02INC_-50_0,
HT,02INC,SPREAD,,0,-25,0,DIM_1,N,1,,HT_02INC_-25_0,
HT,02INC,SPREAD,,0,0,0,DIM_1,N,1,,HT_02INC_0_0,
HT,04SEA,MON,,-0.392,1,0,DIM_1,Y,,Y,HT_04SEA_1_0,
HT,04SEA,MON,,-0.347,2,0,DIM_1,Y,,Y,HT_04SEA_2_0,
HT,04SEA,MON,,-0.0585,3,0,DIM_1,Y,,Y,HT_04SEA_3_0,
HT,04SEA,MON,,0.0365,4,0,DIM_1,Y,,Y,HT_04SEA_4_0,
HT,04SEA,MON,,0.1349,5,0,DIM_1,Y,,Y,HT_04SEA_5_0,
HT,04SEA,MON,,0.222,6,0,DIM_1,Y,,Y,HT_04SEA_6_0,
HT,04SEA,MON,,0.1638,7,0,DIM_1,Y,,Y,HT_04SEA_7_0,
HT,04SEA,MON,,0.1892,8,0,DIM_1,Y,,Y,HT_04SEA_8_0,
HT,04SEA,MON,,0.0195,9,0,DIM_1,Y,,Y,HT_04SEA_9_0,
HT,04SEA,MON,,0.0024,10,0,DIM_1,Y,,Y,HT_04SEA_10_0,
HT,04SEA,MON,,-0.1026,11,0,DIM_1,Y,,Y,HT_04SEA_11_0,
HT,04SEA,MON,,-0.0691,12,0,DIM_1,Y,,Y,HT_04SEA_12_0,
HT,05EGSO,EGSO,,0,-9,0,DIM_1,Y,1,,HT_05EGSO_-9_0,
HT,05EGSO,EGSO,,0,-6,0,DIM_1,Y,1,,HT_05EGSO_-6_0,
HT,05EGSO,EGSO,,0,-3,0,DIM_1,Y,1,,HT_05EGSO_-3_0,
HT,05EGSO,EGSO,,0,0,0,DIM_1,Y,1,,HT_05EGSO_0_0,
HT,05EGSO,EGSO,,0,3,0,DIM_1,Y,1,,HT_05EGSO_3_0,
HT,05EGSO,EGSO,,0,6,0,DIM_1,Y,1,,HT_05EGSO_6_0,
HT,05EGSO,EGSO,,0,9,0,DIM_1,Y,1,,HT_05EGSO_9_0,
HT,05EGSO,EGSO,,0,12,0,DIM_1,Y,1,,HT_05EGSO_12_0,
HT,05EGSO,EGSO,,0,15,0,DIM_1,Y,1,,HT_05EGSO_15_0,
HT,11FICO,FICO,,0,640,0,DIM_1,Y,-1,,HT_11FICO_640_0,
HT,11FICO,FICO,,0,680,0,DIM_1,Y,-1,,HT_11FICO_680_0,
HT,11FICO,FICO,,0,720,0,DIM_1,Y,-1,,HT_11FICO_720_0,
HT,11FICO,FICO,,0,750,0,DIM_1,Y,-1,,HT_11FICO_750_0,
HT,11FICO,FICO,,0,780,0,DIM_1,Y,-1,,HT_11FICO_780_0,
HT,12CLTV,CLTV,,0,50,0,DIM_1,Y,-1,,HT_12CLTV_50_0,
HT,12CLTV,CLTV,,0,60,0,DIM_1,Y,-1,,HT_12CLTV_60_0,
HT,12CLTV,CLTV,,0,70,0,DIM_1,Y,-1,,HT_12CLTV_70_0,
HT,12CLTV,CLTV,,0,80,0,DIM_1,Y,-1,,HT_12CLTV_80_0,
HT,12CLTV,CLTV,,0,85,0,DIM_1,Y,-1,,HT_12CLTV_85_0,
HT,12CLTV,CLTV,,0,90,0,DIM_1,Y,-1,,HT_12CLTV_90_0,
HT,12CLTV,CLTV,,0,95,0,DIM_1,Y,-1,,HT_12CLTV_95_0,
HT,16PPURPC,PPURPC,,1,0,0,DIM_0,Y,,,HT_16PPURP_LN,
HT,16PPURPP,PPURPP,,1,0,0,DIM_0,Y,,,HT_16PPURP_LN,
HT,16PPURPR,PPURPR,,1,0,0,DIM_0,Y,,,HT_16PPURP_LN,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_200,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-400,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-400_500,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_85,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,105,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_105,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,120,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_120,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,140,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_140,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,165,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_165,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,200,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_200,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,250,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_250,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,300,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_300,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,350,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_350,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,400,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_400,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,450,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_450,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-300,500,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-300_500,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,70,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_70,
HT,J02INC_13LNSZ,SPREAD,LNSZ,0,-200,85,DIM_2,Y,1/-1,,HT_J02INC_13LNSZ_-200_85,
